Id,CreationDate,ModificationDate,LinkType,PremiumType,Rate,Unit,Duration,DecisionId,IsArchived,AuthorId,RowIndex
,56:39.5,,2,0,1,0,264,49EA52E7-0474-4E9B-96EA-37A1B39B2F89,0,NULL,0
,56:54.5,,2,0,1,0,264,15B24BB2-0462-4194-BBFC-6C1543EA049D,0,NULL,0
,57:12.3,,2,0,1,0,264,8642BFC4-AA55-4427-A0B3-F519B1D240E2,0,NULL,0
